Part No,Part Name,Descriptions
201170	,"
TerraDiesel EGR Cleaning Tool Part # 201170	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><ul>
<li>Thoroughly cleans the EGR Circuit removing stubborn carbon deposits, eliminating the need for teardown and part replacement</li>
<li>Eliminates issues caused by biodiesel and water in fuel</li>
<li>An easy to perform procedures with noticeable results</li>
<li>A wide variety of adapters available to suit the needs of today’s Diesel Specialist</li></ul><p> </p><p> </p><h2>Product Description</h2><p>EGR systems can become clogged with carbon deposits that affect fuel economy and performance of a diesel vehicle.</p><p>The TerraDiesel EGR Cleaning Tool applies a powerful cleaner, <strong><a href=""https://web.archive.org/web/20230313124405/http://terraclean.net/product.php?id=56"">TerraDiesel EGR and Induction System Cleaner</a>,</strong> into the circuit.  For most applications the exhaust side is serviced, then the intake side.  This cleaner rapidly dissolves the deposits, eliminating the issues commonly associated with plugged EGRs.</p><p> </p><div style=""border: 1px solid lightblue; background-color: lightblue; width: 30%; text-align: center; hight: 30px;""><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/egr-app/"" style=""color: #000; font-size: 14px; font-weight: bold; display: block;"">Go to App Guide</a></div></div>]"
201279	,"
TerraDiesel EGR System Cleaner (1 U.S. Gallon) Part # 201279	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><p>Removes Carbon Deposits from EGR and Induction Systems Reduces Regeneration Cycles Lowers Emissions and Smooths rough idle Improves Performance and Fuel Economy</p></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>The EGR system of a diesel engine often accumulates carbon deposits.  These deposits can negatively affect the performance of an engine.  TerraDiesel EGR and Induction System Cleaner removes these deposits, restoring the fuel economy and performance of an engine. It is applied to the EGR using a TerraDiesel EGR Cleaning Tool and adapter as part of an Diesel EGR Service</p></div></div>]"
201280	,"
TerraDiesel EGR System Cleaner Part # 201280	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><p>Removes Carbon Deposits from EGR and Induction Systems Reduces Regeneration Cycles Lowers Emissions and Smooths rough idle Improves Performance and Fuel Economy</p></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>The EGR system of a diesel engine often accumulates carbon deposits.  These deposits can negatively affect the performance of an engine.  TerraDiesel EGR and Induction System Cleaner removes these deposits, restoring the fuel economy and performance of an engine. It is applied to the EGR using a TerraDiesel EGR Cleaning Tool and adapter as part of an Diesel EGR Service.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;""> &gt;&gt; SDS File</a></p></div>]"
201215	,"
TerraDiesel Engine Tune Part # 201215	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>• Concentrated fuel detergent is specially formulated to clean high pressure common rail, pump and injectors</p><p>• Restores performance and fuel economy</p><p>• Removes excess carbon, varnish and improves emissions.</p><p>• For use with TerraDiesel™ 500-4006T Machine (Mix 1 part detergent with 1 part diesel fuel)</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" rel=""noopener noreferrer"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
201255	,"
TerraDiesel Fuel Injector Cleaner Part # 201255	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><ul>
<li>TerraDiesel Fuel Injector Cleaner is designed to be a rapid cleanup product for diesel and biodiesel fueled engines</li>
<li>Removes gums, varnishes and carbon deposits from fuel system components</li>
<li>Exceeds the requirements of the Cummins L-10 Superior Injector Deposit Control Test</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraDiesel Fuel Injector Cleaner significantly lowers emissions and improves performance in as little as two hours of normal operation.  Simply add to diesel fuel to treat and add once a month to continue to operate at peak performance. Available in 12oz Bottles (p/n 201255) and 32oz Bottles (p/n 201256)</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
201245	,"
TerraDiesel Fuel Treatment Part # 201245	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><ul>
<li>Disperses its own volume in water</li>
<li>Works great in storage tanks</li>
<li>Acts as an effective stability agent by reducing oxidation and preventing breakdown through reactions with water</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraDiesel Fuel Treatment is an effective method of maintaining diesel performance.  Not only does it eliminate water without the use of alcohols, it also improves combustion for better fuel economy, lower emissions and increased power.  One 8oz bottle treats 250 Gallons.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124404/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
201250	,"
TerraDiesel Multi-Function Fuel Treatment Part # 201250	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>The ultimate all-season Multi-Function Treatment for High, Low, Ultra Low Sulfur and Biodiesel Blends</li>
<li>Disperses water without the use of harmful alcohols</li>
<li>Raises cetane, inhibits corrosion and eliminates the growth of bacteria in diesel fuels</li>
<li>Prevents fuel gelling in cold weather climates</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraDiesel Multi-Function Fuel Treatment will improve the performance of diesel engines.  By dispersing water from diesel fuel, it eliminates bacteria and prevents corrosion.  Because it improves atomization, TerraDiesel Multi-Function Fuel Treatment improves fuel economy and lower emissions.  It removes existing gum, varnish and carbon deposits in the fuel system and helps keep particulate traps clean.  Available in 12oz Bottles (p/n 201250) and 32oz Bottles (p/n 201251)</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124404/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;""> &gt;&gt; SDS File</a></p></div>]"
201265	,"
Minor Diesel Service Kit Part # 201265	","[<h2>Features and Benefits</h2><ul>
<li>Combines TerraDiesel Multi-function Fuel Treatment and TerraDiesel Fuel Injector Cleaner</li>
<li>Performs a rapid clean up of diesel and biodiesel-fueled engines</li>
<li>Removes gums, varnishes and carbon deposits from fuel system components</li>
<li>Disperses water without the use of harmful alcohols</li>
<li>Raises cetane, inhibits corrosion and eliminates the growth of bacteria in diesel fuels</li>
<li>Prevents fuel gelling in cold weather climates</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The Minor Diesel Fuel kit is the basis of any Diesel Service.  Both products are simply added to the fuel tank of a diesel engine, so no special equipment is required. First, TerraDiesel Fuel Injector Cleaner is added to the fuel to remove gums, varnishes and carbon deposits.  This will significantly lower emissions and improve performance in as little as two hours of normal operation.  TerraDiesel Multi-Function Fuel Treatment is then added to the fuel tank. By dispersing water from diesel fuel, Multi-Function Fuel Treatment eliminates bacteria and prevents corrosion.  Because it improves atomization, Multi-Function Fuel Treatment improves fuel economy and lower emissions.  It removes existing gum, varnish and carbon deposits in the fuel system and helps keep particulate traps clean.</p></div></div>]"
201295	,"
TerraDiesel Complete Diesel Preventive Maintenance Kit Part # 201295	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>Includes:</p><ul>
<li>1 of 201250 TerraDiesel™ Multifunction Fuel Treatment</li>
<li>1 of 201255 TerraDiesel™ Fuel Injector Cleaner</li>
<li>1 of 201280 TerraDiesel™ EGR System Cleaner</li></ul><p> </p></div>]"
201293	,"
TerraDiesel EGR System Service Kit Part # 201293	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>1 of 201250 TerraDiesel™ Multifunction Fuel Treatment</p><p>1 of 201255 TerraDiesel™ Fuel Injector Cleaner</p><p>1 of 201278 TerraDiesel™ EGR System Cleaner 1.89L</p></div>]"
204271	,"
75W-140 Differential Kit Part # 204271	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Combines 2 64oz jugs of 75W-140 Synthetic Gear Oil for four wheel drive applications</li>
<li>Recommended for applications requiring GL-5 Gear Oils</li>
<li>Provides superior anti-wear and extreme pressure protection</li>
<li>Suitable for limited slip applications without the need of an additional additive</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The 75W-140 Differential Kit is perfect for service providers that work on 4 wheel drive vehicles. Combining 2 jugs of TerraClean Synthetic Gear Oil, both differentials receive the protection they need in extreme conditions. TerraClean Synthetic Gear Oil is made using a PAO base stock and a superior additive package. It works well in extreme weather conditions and provides the consumer with excellent anti-wear protection and oxidation stability. TerraClean Synthetic Gear Oil is formulated to work in limited slip applications so no extra additives are required when working on this type of differential.</p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124354/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124354im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204250	,"
Gear Oil Treatment Part # 204250	","[<h2>Features and Benefits</h2><ul>
<li>Multi-purpose performance additive for differentials, transfer cases and manual transmission</li>
<li>Improves heat transfer for cooler operation</li>
<li>Prevents oil breakdown</li>
<li>Protects system components from water and moisture build up</li>
<li>Meets GL-5 standard for differentials, transfer cases, and manual transmission.</li>
<li>Improves heat transfer for cooler operation</li>
<li>Extends life of components</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Gear oils can deteriorate as they are exposed to heat and oxidization.  This deterioration can lead to expensive damage to differentials, manual transmissions and transfer cases.  Terraclean Gear Oil Treatment guards against the break-down of gear oil.  It contains extreme pressure and anti-wear agents that ensure the components are protected against premature wear, which extends the life of your customer’s vehicles.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124406/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124406/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124406im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204255	,"
Limited Slip TreatmentPart # 204255	","[<h2>Features and Benefits</h2><ul>
<li>For use in vehicles equipped with limited slip (positraction) or locking differentials</li>
<li>Eliminates limited slip differential chatter</li>
<li>Improves lubricant stability and heat transfer</li>
<li>Meets ZF application specifications</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean Limited Slip Treatment improves the heat transfer and thermal stability of gear oil, which improves component life.  It  eliminates the chatter that is associated with limited slip applications and improves performance in heavy duty applications.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204240	,"
Synthetic Gear Oil 75W-140 Part # 204240	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Recommended for applications requiring GL-5 gear oils</li>
<li>Superior anti-wear and extreme pressure protection</li>
<li>Suitable for limited slip performance without an additional additive</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean® Gear Oils are formulated to provide superior performance in Differentials and Manual Transmissions requiring GL5 Oils. They are made using a PAO Synthetic base stock oil with a superior additive package. This provides excellent anti-wear protection, ensures oxidation stability and delivers extreme-pressure performance. It has a high viscosity index and a low pour point, so it works well in both extremely high and low temperature applications.</p><p>TerraClean® Gear Oils are formulated for Limited Slip applications, so there is no need to add any additives for this type of differential.</p><p>Available in 32oz (Part Number 204240) and 64oz (Part Number 204244) bottles.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204244	,"
Synthetic Gear Oil 75W-140 Part # 204244	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>Recommended for applications requiring GL-5 Gear Oil.</p><p>Superior anti-wear and extreme pressure protection.</p><p>Suitable for limited slip applications without and additional additive.</p><p> </p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204290	,"
Synthetic Gear Oil 75W-90 Part # 204290	","[<div class=""woocommerce-product-details__short-description""><p> </p><h2>Features and Benefits</h2><ul>
<li>Recommended for applications requiring-5 gear oils</li>
<li>Superior anti-wear and extreme pressure protection</li>
<li>Suitable for limited slip performance without an additional additive</li></ul><p> </p><h2>Product Description</h2><p>TerraClean® Gear Oils are formulated to provide superior performance in Differentials and Manual Transmissions requiring GL5 Oils. They are made using a PAO Synthetic base stock oil with a superior additive package. This provides excellent anti-wear protection, ensures oxidation stability and delivers extreme-pressure performance. It has a high viscosity index and a low pour point, so it works well in both extremely high and low-temperature applications. TerraClean® Gear Oils are formulated for Limited Slip applications, so there is no need to add any additives for this type of differential.</p><p>Available in 32oz (Part Number 204290) and 64oz (Part Number 204294) bottles.</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204294	,"
Synthetic Gear Oil 75W-90 Part # 204294	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>Recommended for applications requiring GL-5 gear Oil.</p><p>Superior anti-wear and extreme pressure protection.</p><p>Suitable for limited slip applications without and additional additive.</p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204280	,"
Synthetic Transfer Case / Manual Transmission Fluid Part # 204280	","[<div class=""woocommerce-product-details__short-description""><h2>Product Description</h2><p>TerraClean Synthetic Transfer Case / Manual Transmission Fluid is specifically designed for use in 4-wheel-drive vehicles requiring the use of ATF, gear oil and a variety of  OEM specific fluids.</p><h2>Features and Benefits</h2><ul>
<li>Fully Synthetic formula For Manual Transmissions and Transfer Cases Requiring ATF or GL-1 – GL-4 Gear Oils</li>
<li>Provides Superior Anti-Wear and Extreme Pressure Protection</li></ul><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.dropbox.com/s/libjjoeagkslx11/ZMT16-02113%20-%20TC%20Functional%20Fluid%20Guide%20_lowres.pdf?dl=0"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; TerraClean Functional Fluid Guide</a><br/>
<a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
204271	,"
75W-140 Differential Kit Part # 204271	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Combines 2 64oz jugs of 75W-140 Synthetic Gear Oil for four wheel drive applications</li>
<li>Recommended for applications requiring GL-5 Gear Oils</li>
<li>Provides superior anti-wear and extreme pressure protection</li>
<li>Suitable for limited slip applications without the need of an additional additive</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The 75W-140 Differential Kit is perfect for service providers that work on 4 wheel drive vehicles. Combining 2 jugs of TerraClean Synthetic Gear Oil, both differentials receive the protection they need in extreme conditions. TerraClean Synthetic Gear Oil is made using a PAO base stock and a superior additive package. It works well in extreme weather conditions and provides the consumer with excellent anti-wear protection and oxidation stability. TerraClean Synthetic Gear Oil is formulated to work in limited slip applications so no extra additives are required when working on this type of differential.</p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124354/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124354im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204250	,"
Gear Oil Treatment Part # 204250	","[<h2>Features and Benefits</h2><ul>
<li>Multi-purpose performance additive for differentials, transfer cases and manual transmission</li>
<li>Improves heat transfer for cooler operation</li>
<li>Prevents oil breakdown</li>
<li>Protects system components from water and moisture build up</li>
<li>Meets GL-5 standard for differentials, transfer cases, and manual transmission.</li>
<li>Improves heat transfer for cooler operation</li>
<li>Extends life of components</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Gear oils can deteriorate as they are exposed to heat and oxidization.  This deterioration can lead to expensive damage to differentials, manual transmissions and transfer cases.  Terraclean Gear Oil Treatment guards against the break-down of gear oil.  It contains extreme pressure and anti-wear agents that ensure the components are protected against premature wear, which extends the life of your customer’s vehicles.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124406/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124406/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124406im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204255	,"
Limited Slip TreatmentPart # 204255	","[<h2>Features and Benefits</h2><ul>
<li>For use in vehicles equipped with limited slip (positraction) or locking differentials</li>
<li>Eliminates limited slip differential chatter</li>
<li>Improves lubricant stability and heat transfer</li>
<li>Meets ZF application specifications</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean Limited Slip Treatment improves the heat transfer and thermal stability of gear oil, which improves component life.  It  eliminates the chatter that is associated with limited slip applications and improves performance in heavy duty applications.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204240	,"
Synthetic Gear Oil 75W-140 Part # 204240	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Recommended for applications requiring GL-5 gear oils</li>
<li>Superior anti-wear and extreme pressure protection</li>
<li>Suitable for limited slip performance without an additional additive</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean® Gear Oils are formulated to provide superior performance in Differentials and Manual Transmissions requiring GL5 Oils. They are made using a PAO Synthetic base stock oil with a superior additive package. This provides excellent anti-wear protection, ensures oxidation stability and delivers extreme-pressure performance. It has a high viscosity index and a low pour point, so it works well in both extremely high and low temperature applications.</p><p>TerraClean® Gear Oils are formulated for Limited Slip applications, so there is no need to add any additives for this type of differential.</p><p>Available in 32oz (Part Number 204240) and 64oz (Part Number 204244) bottles.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
