Part No,Part Name,Descriptions
205204	,"
High performance Brake Fluid Part # 205204	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>Suitable for all use in all application requiring DOT 3 or DOT 4.</p><p>Protects against metal corrosion.</p><p>Meets or exceeds FMVSS-116, SAE JI703, and SAE JI704.</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
205220	,"
High Performance Brake Fluid Part # 205220	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Suitable for use in all applications requiring DOT 4 or DOT 3</li>
<li>Protects against metal corrosion</li>
<li>Meets or exceeds FMVSS-116, SAE J1703and SAE J1704</li>
<li>High and low viscosity control</li>
<li>Superior lubrication properties prevent seal hardening or softening</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean® High Performance Brake Fluid is engineered for all disc and drum-type brake systems, which require DOT 4 or DOT 3 Brake Fluid. Its superior temperature formulation greatly reduces the tendency to vaporize at elevated temperatures, which are common in today’s braking systems.</p><p>High Performance Brake Fluid is available in 32oz (part number 205220) and 64oz (part number 205204) bottles.</p><p> </p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
-5100P	,"
Coolant Clean III Part # 500-5100P	","[<div class=""woocommerce-product-details__short-description""><h2>CoolantClean III 500-5100P</h2><p>The CoolantClean III exchanges virtually all of the used coolant mixture in vehicle’s cooling system in a few simple steps. The CoolantClean III coolant flush service can increase a shop’s profits by reducing the time it takes to do a complete fluid exchange to approximately 15 minutes. Simply by connecting to the vehicle’s upper radiator hose, the unit will flush virtually all of the old coolant and replace it with the new coolant.</p><p> </p><h2>Features and Benefits</h2><p>System now allows for both static and dynamic cooperation</p><p>New on-board waste tank has a 28 quart capacity</p><p>Unique vacuum switch allows for cooling system depressurization</p></div>]"
202200	,"
Cooling System Cleaner Kit Part # 202200	","[<div class=""woocommerce-product-details__short-description""><h1>Features and Benefits</h1><div class=""prodRight2InfoBox""><ul>
<li>Combines Cooling System Flush and Cooling System Treatment</li>
<li>Removes rust, scale and other residues in vehicle cooling systems</li>
<li>Helps inhibit the formation of new deposits that can cause overheating of the cooling system</li>
<li>Lubricates water pumps Works with both conventional and long life fluid</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean® Cooling System Flush Kits help you perform a complete cooling system service. TerraClean Cooling System Flush eliminates contaminants such as rust and scale from the entire cooling system. After performing a cooling system flush, adding TerraClean® Cooling System Treatment slows the formation of rust and scale in new coolant while lubricating the water pump. TerraClean® Cooling System Flush and Cooling System Treatment will not damage cooling systems and works with both conventional and long life coolants.</p></div><p> </p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124354/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124354im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
202210	,"
Cooling System Flush Part # 202210	","[<h2>Features and Benefits</h2><ul>
<li>Removes rust and scale and other residues from the cooling system</li>
<li>Helps prevent cooling system overheating</li>
<li>Extends the life of the cooling system</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Rust and scale can accumulate in the cooling system of a vehicle.  These deposits can impede the flow of the coolant through the system.  As well, scale can act as an insulator, which reduces the ability of the cooling system to transfer heat.  TerraClean Cooling System Flush eliminates rust and scale from the entire cooling system.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124406/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
202230	,"
Cooling System Sealant Part # 202230	","[<h2>Features and Benefits</h2><ul>
<li>Stops leaks in radiator heater cores, seals and expansion plugs</li>
<li>Protects against head gasket damage</li>
<li>Works with conventional and long life fluid</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Pin hole size leaks can quickly lead to cooling system failure. When used as part of a cooling system fluid exchange, TerraClean Cooling System Sealant prevents these leaks in radiator cores and cooling system seals. Cooling System Sealant can also be added to the coolant to stop small leaks once they have been detected.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
202220	,"
Cooling System Treatment Part # 202220	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><ul>
<li>Prevents rust and corrosion in the cooling system</li>
<li>Inhibits formation of deposits that can cause overheating</li>
<li>Lubricates the water pump</li>
<li>Works with conventional and long life fluid</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Scale and rust can impede the flow of coolant within a vehicle’s cooling system. TerraClean Cooling System Treatment slows the formation of rust and scale in new coolant while lubricating the water pump.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
-4006T	,"
Diesel Tune Part # 500-4006T	",[]
201282	,"
TerraDiesel C-Shot Diesel Fuel Supplement (2.5 US Gallons) Part # 201282	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>• C-Shot Raises Cetane in diesel fuel*<br/>
• Improves lubricity<br/>
• Reduces frequency of regeneration cycles<br/>
• Improves fuel burn efficiency and stability<br/>
• Helps improve fuel economy</p><p>* Note: Cetane increase varies with diesel fuel quality.<br/>
<a href=""https://web.archive.org/web/20230313124356/https://www.terraclean.net/safety-data-sheets/"" rel=""noopener noreferrer"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
201281	,"
TerraDiesel C-Shot Diesel Fuel Supplement Part # 201281	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>• C-Shot Raises Cetane in diesel fuel*<br/>
• Improves lubricity<br/>
• Reduces frequency of regeneration cycles<br/>
• Improves fuel burn efficiency and stability<br/>
• Helps improve fuel economy</p><p>* Note: Cetane increase varies with diesel fuel quality.</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" rel=""noopener noreferrer"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
